,list
0,K.G.F: Chapter 2
1,Vikram
2,Ponniyin Selvan: I
3,RRR (Rise Roar Revolt)
4,A Thursday
5,Brahmastra Part One: Shiva
6,Badhaai Do
7,Runway 34
8,777 Charlie
9,Attack
10,The Kashmir Files
11,Major
12,Gangubai Kathiawadi
13,Anek
14,Doctor G
15,Jhund
16,No Means No
17,Gehraiyaan
18,Jug Jugg Jeeyo
19,Love Hostel
20,Thank God
21,Toolsidas Junior
22,Jalsa
23,Vikram Vedha
24,Sharmaji Namkeen
25,Ram Setu
26,Jersey
27,Rocketry: The Nambi Effect
28,Laal Singh Chaddha
29,Maidaan
30,Yodha
31,Bhediya
32,The Good Maharaja
33,Ganapath
34,Khuda Haafiz Chapter II: Agni Pariksha
35,Jaadugar
36,HIT: The First Case
37,Dobaaraa
38,Darlings
39,Goodbye
40,Phone Bhoot
41,Mili
42,Double XL
43,Tadka
44,Uunchai
45,Monica O My Darling
46,Drishyam 2
